fid,survey_fid,Weather Condition,photo,date,surveyor,Townland,Existing_SMR,SMR_no,Colour,Consistency,Artifacts,Length,Depth,Description,Title/Name,Long,Lat,Theme,Link_URL,layer,image,Located
"1","8",Fair,20250215_135903.jpg,2025/02/15 13:59:03.608+00,Fw,Drumahorgan,false,,,,"{10,1}",17m,0.6m below the surface,"Very thin midden layer, approximately 17m in length, containing small cockle shells and occasional charcoal. Approximately 0.35-0.65m below ground surface. Possibly medieval in date, could be the result of farming practices such as using seaweed/shells etc to fertilise the soil.<br><br>Site was visited and recorded on 15.02.25.

.",Shell Midden,-6.96226646534763,55.164498341787,Volunteer Survey Data,<img src=https://ccght.org/wp-content/uploads/2025/03/Binevenagh-Coastal-Survey-feature8-scaled.jpg>,Survey,https://ccght.org/wp-content/uploads/2025/03/Binevenagh-Coastal-Survey-feature8-scaled.jpg,
"2","9",Fair,20250215_143039.jpg,2025/02/15 14:32:18.055+00,TS,Ballymulholland,false,,,,"{10,3}",25m,0.25m,"Collapsing shell midden, approximately 25m in length and approximately 1m below ground surface. Due to collapse depth was difficult to determine but was approximately 0.25m in places.  Contained cockle shells and some animal bone.<br><br>Site was visited and recorded on 15.02.25. <br><br><a href=""https://apps.communities-ni.gov.uk/NISMR-public/Details.aspx?MonID=11358"">Open NI SMR link for this site</a>",Shell Midden,-6.9645058438541,55.1592702911283,Volunteer Survey Data,<img src=https://ccght.org/wp-content/uploads/2025/03/Binevenagh-Coastal-Survey-feature9.jpg>,Survey,https://ccght.org/wp-content/uploads/2025/03/Binevenagh-Coastal-Survey-feature9.jpg,
"3","10",Fair,20250215_151115.jpg,2025/02/15 15:11:16.166+00,TS,Ballymulholland,false,,,,"{9,10,5}",3.1m,Maximum of 0.05m,"Thin midden layer, approximately 3.1m in length and 0.05m thick. Contained shell, stone and bone.<br><br>Site was visited and recorded on 15.02.25.",Shell Midden,-6.96469557643302,55.158349873874,Volunteer Survey Data,<img src=https://ccght.org/wp-content/uploads/2025/03/Binevenagh-Coastal-Survey-feature10-scaled.jpg>,Survey,https://ccght.org/wp-content/uploads/2025/03/Binevenagh-Coastal-Survey-feature10-scaled.jpg,
"4","11",Fair,20250224_114139.jpg,2025/02/24 11:41:50.935+00,GM,Ballymultimber,false,,,,,,,"Five timbers identified on shore, including one linear timber approximately 0.92m long and 0.05m wide with a tapered, pointed end and potential notches. One piece may be suitable for dendrochronological dating.<br><br>Site was visited and recorded on 24.02.25.",Timber,-6.97442319985293,55.1382826223046,Volunteer Survey Data,<img src=https://ccght.org/wp-content/uploads/2025/03/Binevenagh-Coastal-Survey-feature11-scaled.jpg>,Survey,https://ccght.org/wp-content/uploads/2025/03/Binevenagh-Coastal-Survey-feature11-scaled.jpg,
"5","12",Fair,20250224_120644.jpg,2025/02/24 12:06:44.656+00,GM,,,,,,,,,"Square concrete plinth approximately 5m in diameter and 0.7m thick/high. Was originally photographed and recorded in August 2023 and has substantially deteriorated since then. No walls, or distinguishing features observed. Too large and substantial to have been purposely moved or dumped. Most likely had a military function. Site was visited and recorded on 24.02.25.",Concrete Plinth,-6.97208726204834,55.1436242334331,Volunteer Survey Data,<img src=https://ccght.org/wp-content/uploads/2025/03/Binevenagh-Coastal-Survey-feature12-scaled.jpg>,Survey,https://ccght.org/wp-content/uploads/2025/03/Binevenagh-Coastal-Survey-feature12-scaled.jpg,
"6","13",Fair,20250224_122503.jpg,2025/03/05 16:52:36.273+00,Gm,Drumavally,false,,Greyish Black,,"{10,1}",9.8m,,"Exposed surface of greyish black peat layer, located in intertidal zone which contains midden material which includes whelk shells, cockle shells, charcoal, animal bone, wood, possibly metal slag. Charcoal rich deposits associated with areas of mid-reddish brown clayey sand indicates possible in-situ burning. Small wooden stakes (less than 0.03m diameter) appear to be driven into the layer. Measures approximately 9.8m x 9.5m wide, though main concentration of burning is approximately 2.9m. This deposit is at high risk from further erosion and tidal action. Sampling is necessary to determine its date. Site was visited and recorded on 24.02.25 and 05.03.25.",Shell Midden,-6.97120874259311,55.1452235053838,Volunteer Survey Data,<img src=https://ccght.org/wp-content/uploads/2025/03/Binevenagh-Coastal-Survey-feature13-scaled.jpg>,Survey,https://ccght.org/wp-content/uploads/2025/03/Binevenagh-Coastal-Survey-feature13-scaled.jpg,
"7","14",Fair,20250224_132017.jpg,2025/02/26 08:29:05.410+00,Gm,Ballymulholland,true,LDY001:016,,,"{5,1,9,10}",4m,0.4m,"Substantial midden deposit previously recorded as LDY001:016. Maximum length of deposit is 28m but the core of the deposit is 4m long and 0.4m thick. Contains, cockle shells, bone, charcoal and stone (schist). Closest source of schist is Inishowen or Dungiven – could the stone be the remnants of structures? Bone visible in section but could not determine if it was human or animal without removal. A proportional sample of artefacts visible in the collapsed midden material were bagged. Site was visited and recorded on 24.02.25.",Shell Midden,-6.96469524941934,55.1562171415998,Volunteer Survey Data,<img src=https://ccght.org/wp-content/uploads/2025/08/Binevenagh-Coastal-Survey-feature14-scaled.jpg>,Survey,https://ccght.org/wp-content/uploads/2025/08/Binevenagh-Coastal-Survey-feature14-scaled.jpg,
"8",,,,,,,,,,,,,,"Magilligan Foreland, located along the eastern side of Lough Foyle, is a significant and dynamic coastal landform. With funding from the Historic Environment Fund Research Stream, CCGHT is working with volunteers to record and monitor archaeological sites along the Lough Foyle shoreline of Magilligan (aka Magilligan Strand) that are at risk from coastal erosion.<br><br>Magilligan Foreland comprises 32 km2 of low-lying sand-dominated terrain that formed in association with changes in relative sea-level over the last ~7000 years. Erosion of the sand cliffs alongside Lough Foyle has revealed alternations of beach sediments, peat beds, buried soils, and dune sands. These different materials are best seen along a 4 km-long section of the coast from the townlands of Ballymagoland, in the north, to Ballymultimber, in the south. Along other sections of Magilligan Strand the sand cliffs are obscured by rubble and other materials emplaced to reduce wave erosion of the cliff line and adjacent agricultural land. During the 1980s several radiocarbon dates were obtained on samples of buried organic materials (peat, wood, soil and shells) collected from the cliffs. These gave ages between ~5000 years and 200 years before present and confirmed that in general terms Magilligan Foreland developed gradually from south to north.<br><br>People have lived in and used this changing landscape over thousands of years, and as such Magilligan has an interesting archaeological heritage but one that is not yet fully understood. The Lough Foyle shoreline is currently experiencing significant erosion, making the archaeological heritage vulnerable and resulting in its rapid loss. Over the 9 km length of coastline between Magilligan Point and Balls Point (at the mouth of the River Roe), there are 17 recorded archaeological sites and 10 recorded defence heritage sites. Walkers often find sites and objects that have been revealed after stormy weather and high tides. In 1979 and 1984 excavations were carried out by archaeologists from Queen’s University on shell middens that had become visible in the cliffs at Oughtymore and Ballymulholland. Radiocarbon dates indicated that the middens were formed during the Iron Age, Early Christian and Medieval periods. The middens indicated significant human activity in the area during those periods. Remains of archaeological burials have also been revealed in the eroding sands and subsequently excavated. The details and results of one such burial, found in 2024, are awaited with interest.<br><br>In 2023 and 2024, volunteers participated in walks along Magilligan Strand that led to the discovery of additional archaeological sites. These newly identified sites were added to the Northern Ireland Sites and Monuments Record. Funding has enabled us to form a dedicated volunteer group to monitor the coastline seasonally, recording new sites and updating records for existing sites.<br><br>We cannot protect and preserve all these sites, but by recording and monitoring them on a regular basis we can pinpoint their locations and extents, note the nature of their contained materials (e.g. shells, stone, charcoal, bone and metal slag) and highlight those worthy of further detailed research before they are ultimately destroyed.",Citizen Science at Magilligan Strand,-6.986446,55.118009,Historic Environment Projects,<img src=https://ccght.org/wp-content/uploads/2025/03/Binevenagh-Coastal-Survey-Volunteers-scaled.jpg>,Sites for Binevenagh map,https://ccght.org/wp-content/uploads/2025/03/Binevenagh-Coastal-Survey-Volunteers-scaled.jpg,
"9",,,,,,Lower Doaghs,,,,,,,,"The Martello Tower at Magilligan is one of 50 towers built around the Irish Coast between 1804 and 1812 to guard against Napoleonic invasion. Building of the Magilligan tower began in 1812 and was not finished until 1817. The Martello Tower, along with Greencastle Martello Tower located directly across Lough Foyle in Co. Donegal was strategically positioned to protect Lough Foyle. The circular tower is built of dressed stone, 10m high, 12m in diameter, tapering slightly upwards. The entrance at first floor level was by retractable ladder and the five-corbelled machicolation above gave added protection. The ground floor was a where powder and ammunition was stored, and at basement level there was a large water cistern. The first floor provided accommodation for the soldier and their officer, On the top floor or roof there was a 24-pounder cannon on a central pivot and circular rail. The Martello Tower is a State Care Monument and a Grade A Listed Building.<br><br>Over the years the tower has been used as accommodation, used during WW2 as a coastal observatory post and in the late 19th century as a quarantine hospital. With funding from the DfC historic Environment Fund Research Stream, a weather station and camera have been installed on the roof of the Martello Tower to monitor weather and the impact of coastal erosion.<br><br><a href=""https://apps.communities-ni.gov.uk/NISMR-public/Details.aspx?MonID=11356"">Open NI SMR link for this site</a>",Martello Tower,-6.963371,55.192457,Historic Environment Projects,<img src=https://ccght.org/wp-content/uploads/2025/03/Binevenagh-Coastal-Survey-Martello-Tower.jpg>,Sites for Binevenagh map,,
"10",,,,,,Sconce,,,,,,,,"The Giant’s Sconce, located close to the Windyhill Road, is a scheduled archaeological monument which was in use between the 5th and 7th centuries. The fort is located on a rocky outcrop which was further protected by a thick wall which which still survives in places. Although very overgrown, the Ordnance Survey memoirs record that in the 1830s the fort had rock cut steps and a collapsed souterrain. Today this is known as the Giants Sconce with ‘sconce’ meaning a small fortification often located on a mound. However, in historical writings, the site was referred to as Dún dá Bend and Dun Ceithrin. Dun Ceithrin or the Giant’s Sconce is considered a ‘royal site’ which means that in early medieval literature it was important politically, associated with the high kings in Ulster at the time. Royal sites usually have a prophecy associated with them. Other ‘royal sites’ in Ulster are Dunserverick, Co. Antrim and Emain Macha/Navan Fort, Co. Armagh. In 2023 and 2024, volunteers who completed the OCN Level 2 Tour Guide Training with Binevenagh and Coastal Lowlands Landscape Partnership lead walking tours of the site as part of Castlerock Walkfest.",Giant's Sconce,-6.790559,55.109892,Historic Environment Projects,<img src=https://ccght.org/wp-content/uploads/2025/03/Binevenagh-Coastal-Survey-Giants-Sconce-scaled.jpg>,Sites for Binevenagh map,https://ccght.org/wp-content/uploads/2025/03/Binevenagh-Coastal-Survey-Giants-Sconce-scaled.jpg,
